#  NN градусы  градусы           Z     Yaw           Pitch           Roll
10707 50.43582 29.97240 982.255       279.171227 1.985760 -2.443990     
10708 50.43516 29.96865 987.769       277.512951 1.541599 0.246061      
10709 50.43449 29.96493 991.329       285.522671 0.356415 2.506719      
10710 50.43404 29.96112 991.771       287.998895 0.494153 0.352078      
10711 50.43359 29.95721 992.778       286.077755 1.383454 -0.952028     
10712 50.43304 29.95335 995.809       285.357664 0.878766 1.187396      
10713 50.43252 29.94949 995.396       299.893538 -1.796942 1.524520      
10714 50.43210 29.94554 993.795       290.140483 0.224600 2.938937      
10715 50.43175 29.94169 998.459       287.543058 0.878156 -0.846126     
10716 50.43131 29.93776 1000.019      285.414338 0.656241 -0.331504     
10717 50.43080 29.93383 998.669       283.652224 -0.622664 -0.172242     
10718 50.43031 29.92990 999.855       288.299504 0.492760 3.013019      
10719 50.42995 29.92606 1005.766      289.472016 1.085396 1.166241      
10720 50.42954 29.92215 1011.300      284.387578 2.082292 -2.499302     
10721 50.42892 29.91822 1013.217      284.986086 -0.466530 0.850440      
10722 50.42837 29.91426 1012.896      285.852783 -1.041908 -0.523042     
10723 50.42784 29.91022 1008.487      285.205856 0.279447 -0.727381     
10724 50.42733 29.90628 1009.404      286.584062 0.500327 -0.110231     
10725 50.42684 29.90236 1011.492      286.486831 -1.191802 -0.475319     
10726 50.42637 29.89836 1007.191      287.433273 -0.884726 0.812917      
10727 50.42597 29.89440 1005.747      289.018216 -1.853671 0.643506      
10728 50.42561 29.89039 1001.560      288.082142 -1.179535 -0.741578     
10729 50.42519 29.88642 998.838       283.299165 -0.375898 -3.925999     
10730 50.42458 29.88250 997.333       286.266220 -0.885784 -0.035109     
10731 50.42404 29.87867 998.555       289.549844 -0.534248 1.503702      
10732 50.42362 29.87483 1002.657      290.570271 0.918777 0.182078      
10733 50.42319 29.87100 1007.813      289.746202 1.572956 -1.268577     
10734 50.42269 29.86714 1011.759      288.396972 0.122770 -0.611346     
10735 50.42215 29.86322 1011.715      288.389227 0.238289 0.118437      
10736 50.42162 29.85929 1011.553      295.810727 -0.082079 1.169937      
10737 50.42117 29.85535 1009.674      300.592579 -1.533674 0.060547      
10738 50.42072 29.85132 1002.255      297.188114 -1.479502 0.162844      
10739 50.42027 29.84734 995.974       298.882831 -1.988321 1.708662      
10740 50.41985 29.84342 991.834       297.372167 -0.707635 0.498544      
10741 50.41939 29.83956 990.849       289.446272 -0.189852 0.490385      
10742 50.41169 29.84054 952.688       69.447014 -0.247962 -3.934310       
10743 50.41201 29.84405 958.565       57.613596 -0.028898 -5.452075       
10744 50.41270 29.84759 963.149       59.019062 2.876781 3.349387        
10745 50.41323 29.85118 984.724       62.861497 3.516791 2.752962        
10746 50.41361 29.85497 993.566       63.419298 -1.495345 -1.061693       
10747 50.41411 29.85897 983.408       53.092684 -1.704805 -0.995540       
10748 50.41478 29.86278 979.442       57.478354 -0.815562 3.414546        
10749 50.41528 29.86663 984.046       56.560597 0.682404 0.642321        
10750 50.41571 29.87042 990.042       57.708533 -0.294635 0.238396        
10751 50.41613 29.87429 991.063       57.141036 -0.663586 0.446124        
10752 50.41660 29.87815 992.209       44.637190 -0.794490 -1.198283       
10753 50.41720 29.88193 993.563       46.019644 -1.419881 -0.557808       
10754 50.41784 29.88580 990.013       46.395898 -1.039024 1.094274        
10755 50.41837 29.88969 987.978       47.327868 -1.943842 1.002677        
10756 50.41888 29.89354 986.284       49.024138 -1.942110 1.759825        
10757 50.41930 29.89740 978.674       50.213130 -2.908750 2.022552        
10758 50.41966 29.90129 970.531       51.247362 -0.710215 2.415038        
10759 50.41998 29.90500 973.704       45.799449 -1.280104 -1.473985       
10760 50.42047 29.90862 973.857       43.354582 -0.978064 2.362132        
10761 50.42103 29.91231 975.422       46.939978 0.864058 3.836828        
10762 50.42144 29.91608 977.346       50.586118 0.960974 3.746409        
10763 50.42176 29.91987 978.829       50.168443 -0.296613 0.315708        
10764 50.42215 29.92369 976.165       50.843198 -1.642414 3.135840        
10765 50.42251 29.92758 977.199       54.958300 0.750103 1.122996        
10766 50.42298 29.93125 982.271       49.791563 -0.122964 0.871786        
10767 50.42358 29.93502 981.159       54.992552 0.549572 3.393899        
10768 50.42401 29.93883 990.944       59.109709 3.948330 -0.064177       
10769 50.42445 29.94245 1005.257      55.786441 -0.885469 -0.892421       
10770 50.42505 29.94642 1000.896      49.320025 -0.163891 0.919234        
10771 50.42559 29.95040 998.872       56.442304 1.003251 1.886329        
10772 50.42603 29.95429 1002.972      54.977367 -0.124600 -1.376547       
10773 50.42655 29.95818 1005.062      69.024849 -0.591855 1.200926        
10774 50.42703 29.96220 1001.056      70.701798 -1.028978 1.522033        
10775 50.42748 29.96613 1002.293      69.760649 1.123667 -0.493447       
10776 50.42797 29.96994 1010.493      70.098874 0.376083 0.982052        
10777 50.42842 29.97388 1013.922      70.526682 0.064147 2.042222        
10778 50.42879 29.97791 1015.427      71.854447 -0.503078 1.483797        
10779 50.42918 29.98189 1018.038      68.136973 -0.988116 -2.058282       
10780 50.42975 29.98586 1017.561      66.260797 -0.585093 0.318664        
10781 50.43033 29.98982 1018.132      68.100367 -1.706985 2.015241        
10782 50.43081 29.99392 1012.237      70.466581 -1.820824 2.258421        
10783 50.43118 29.99795 1012.396      72.432736 -1.027627 2.151107        
10784 50.43159 30.00189 1013.785      64.665345 -1.550839 -2.674500       
10785 50.43222 30.00578 1013.457      62.646888 -1.703502 -0.111335       
10786 50.43292 30.00968 1013.782      62.755733 -1.421287 1.567668        
10787 50.43357 30.01361 1014.162      67.480207 -1.901499 3.447449        
10788 50.43399 30.01764 1016.503      70.819482 -0.804704 1.632540        
10789 50.43426 30.02164 1020.805      70.379254 0.273816 -1.324429       
10790 50.43463 30.02555 1024.695      68.254440 -0.570116 0.612279        
10791 50.43501 30.02962 1023.796      71.556707 -1.744428 3.802385        
10792 50.43518 30.03382 1019.978      71.435082 -1.499909 0.224456        
10793 50.42872 30.03490 984.204       269.844665 1.534086 1.017245      
10794 50.42816 30.03113 990.564       269.317283 2.002170 -0.261280     
10795 50.42755 30.02737 995.265       273.909024 1.030141 1.429924      
10796 50.42712 30.02357 995.983       289.143197 -0.153630 4.864958      
10797 50.42702 30.01975 997.398       281.066712 1.097112 -3.420045     
10798 50.42657 30.01575 1000.292      277.277863 1.487536 1.724913      
10799 50.42603 30.01188 1002.475      280.239198 0.938320 3.217794      
10800 50.42562 30.00798 1004.410      280.420846 0.612484 0.635132      
10801 50.42516 30.00397 1003.077      279.332525 -0.410806 1.338236      
10802 50.42469 29.99999 1002.341      281.328821 -0.685063 1.382426      
10803 50.42426 29.99603 1003.222      281.301993 -0.444030 0.910184      
10804 50.42381 29.99208 1004.906      280.619499 -0.224907 0.462832      
10805 50.42329 29.98814 1005.876      277.412680 0.173386 -1.140367     
10806 50.42266 29.98425 1009.062      278.484902 0.164894 1.407683      
10807 50.42212 29.98038 1011.662      284.449449 -0.018338 4.142633      
10808 50.42178 29.97646 1014.297      277.846950 0.467895 0.594525      
10809 50.42137 29.97244 1016.001      275.464697 0.142944 1.860690      
10810 50.42090 29.96839 1008.337      275.149840 -2.384907 2.727876      
10811 50.42042 29.96433 1003.991      271.324779 -1.288054 -0.892548     
10812 50.41978 29.96036 1000.778      273.226364 -1.282952 1.310739      
10813 50.41922 29.95652 1003.989      272.678707 -0.451531 1.345752      
10814 50.41866 29.95265 1005.786      274.465712 -0.780630 2.175097      
10815 50.41822 29.94878 1005.567      278.531089 -0.896481 1.933380      
10816 50.41789 29.94482 1004.119      272.512725 -0.396750 -1.955379     
10817 50.41740 29.94088 1003.645      272.421079 -0.797370 1.162794      
10818 50.41690 29.93696 1002.358      271.960287 -1.136458 1.222926      
10819 50.41641 29.93303 999.132       266.677395 -1.705133 0.630078      
10820 50.41592 29.92914 997.116       266.262581 0.084119 0.758279      
10821 50.41540 29.92532 999.482       267.547097 -1.238889 0.995958      
10822 50.41496 29.92143 997.063       271.372323 0.565814 2.090204      
10823 50.41460 29.91760 1000.851      268.684046 -0.158895 -0.462701     
10824 50.41415 29.91370 1002.081      267.597639 -0.636795 0.991188      
10825 50.41370 29.90976 998.292       269.868906 -1.427205 2.151400      
10826 50.41336 29.90584 998.827       267.576058 0.338577 -0.045445     
10827 50.41290 29.90194 1000.067      262.452542 -0.359130 1.933378      
10828 50.41240 29.89804 998.220       262.631403 -0.457477 3.484895      
10829 50.41192 29.89414 995.853       262.295297 -0.267822 2.516005      
10830 50.41143 29.89027 996.153       262.304477 0.434367 2.536732      
10831 50.41093 29.88643 997.670       262.191107 0.673394 2.701781      
10832 50.41042 29.88259 998.435       262.507812 0.491367 2.821109      
10833 50.40991 29.87872 1000.003      262.541363 1.055365 2.370475      
10834 50.40941 29.87486 1002.166      262.444303 0.937129 2.564327      
10835 50.40891 29.87097 1002.566      263.011840 0.784969 3.120698      
10836 50.40843 29.86706 1001.925      264.073587 0.485912 3.075352      
10837 50.40798 29.86311 997.204       263.838507 -0.279088 0.997644      
10838 50.40747 29.85917 997.438       262.263683 0.024312 0.362498      
10839 50.40689 29.85529 1000.805      260.657514 0.242960 0.476628      
10840 50.40626 29.85141 1005.817      261.417084 0.973442 0.426683      
10841 50.40569 29.84761 1014.101      275.261642 2.120986 8.437138      
10842 50.40564 29.84377 1016.691      277.466506 -0.112944 3.046220      
10843 50.39971 29.84989 1014.049      63.363348 -1.134749 0.447863        
10844 50.40015 29.85384 1013.251      65.442902 -1.879962 0.540320        
10845 50.40049 29.85795 1009.319      64.089593 -2.403004 -1.118814       
10846 50.40090 29.86190 1005.189      63.272187 -3.288420 1.001278        
10847 50.40137 29.86590 997.645       68.745067 -1.353617 0.582185        
10848 50.40183 29.86975 1002.884      70.407462 -0.784141 2.163568        
10849 50.40223 29.87365 1006.383      70.714052 -1.653407 0.839382        
10850 50.40263 29.87761 1005.144      69.838280 -1.905692 0.467826        
10851 50.40309 29.88151 1007.529      66.891229 -0.873830 -0.108918       
10852 50.40368 29.88534 1010.929      62.459439 -1.044801 -3.171466       
10853 50.40438 29.88921 1010.144      66.858454 -1.134780 0.427908        
